sample	ali	prev	target	contig	reads
SRR3966130	bowtie2	spades	spades	NODE_4876_length_2530_cov_1.429453	79
SRR3966130	bowtie2	spades	spades	NODE_4934_length_2516_cov_1.971452	102
SRR3966130	bowtie2	spades	spades	NODE_4990_length_2504_cov_2.064033	112
SRR3966130	bowtie2	spades	spades	NODE_5197_length_2455_cov_1.414261	59
SRR3966130	bowtie2	spades	spades	NODE_5532_length_2390_cov_1.694893	86
SRR3966130	bowtie2	spades	spades	NODE_5591_length_2377_cov_2.207199	114
SRR3966130	bowtie2	spades	spades	NODE_5640_length_2365_cov_2.235658	119
SRR3966130	bowtie2	spades	spades	NODE_5871_length_2327_cov_1.941652	88
SRR3966130	bowtie2	spades	spades	NODE_5903_length_2321_cov_1.802430	89
SRR3966130	bowtie2	spades	spades	NODE_5958_length_2309_cov_1.826697	80
SRR3966130	bowtie2	spades	spades	NODE_5984_length_2305_cov_3.037171	145
SRR3966130	bowtie2	spades	spades	NODE_6064_length_2294_cov_2.353986	103
SRR3966130	bowtie2	spades	spades	NODE_6096_length_2289_cov_1.133333	54
SRR3966130	bowtie2	spades	spades	NODE_6146_length_2279_cov_1.891284	92
SRR3966130	bowtie2	spades	spades	NODE_6159_length_2277_cov_2.027548	102
SRR3966130	bowtie2	spades	spades	NODE_6468_length_2223_cov_1.588512	73
SRR3966130	bowtie2	spades	spades	NODE_6582_length_2202_cov_2.198764	102
SRR3966130	bowtie2	spades	spades	NODE_6600_length_2199_cov_2.476190	110
SRR3966130	bowtie2	spades	spades	NODE_6754_length_2176_cov_1.906596	80
SRR3966130	bowtie2	spades	spades	NODE_6854_length_2161_cov_2.096993	97
SRR3966130	bowtie2	spades	spades	NODE_6952_length_2147_cov_2.166504	96
SRR3966130	bowtie2	spades	spades	NODE_7491_length_2075_cov_2.093623	91
SRR3966130	bowtie2	spades	spades	NODE_7602_length_2063_cov_1.530550	70
SRR3966130	bowtie2	spades	spades	NODE_7679_length_2052_cov_1.284690	55
SRR3966130	bowtie2	spades	spades	NODE_7728_length_2046_cov_2.279918	97
SRR3966130	bowtie2	spades	spades	NODE_7902_length_2028_cov_2.082945	92
SRR3966130	bowtie2	spades	spades	NODE_8210_length_1990_cov_3.459545	149
SRR3966130	bowtie2	spades	spades	NODE_8307_length_1982_cov_2.104089	84
SRR3966130	bowtie2	spades	spades	NODE_8319_length_1981_cov_2.285866	96
SRR3966130	bowtie2	spades	spades	NODE_8372_length_1976_cov_1.913159	75
SRR3966130	bowtie2	spades	spades	NODE_8460_length_1967_cov_2.064240	86
SRR3966130	bowtie2	spades	spades	NODE_8501_length_1962_cov_1.764895	72
SRR3966130	bowtie2	spades	spades	NODE_8684_length_1942_cov_2.550190	106
SRR3966130	bowtie2	spades	spades	NODE_8865_length_1925_cov_1.710296	68
SRR3966130	bowtie2	spades	spades	NODE_8929_length_1920_cov_1.749588	70
SRR3966130	bowtie2	spades	spades	NODE_9054_length_1909_cov_1.870718	72
SRR3966130	bowtie2	spades	spades	NODE_9122_length_1901_cov_2.144284	84
SRR3966130	bowtie2	spades	spades	NODE_9244_length_1889_cov_1.815642	56
SRR3966130	bowtie2	spades	spades	NODE_9377_length_1875_cov_2.467905	91
SRR3966130	bowtie2	spades	spades	NODE_9606_length_1855_cov_1.812073	68
SRR3966130	bowtie2	spades	spades	NODE_9676_length_1849_cov_1.767429	68
SRR3966130	bowtie2	spades	spades	NODE_9909_length_1829_cov_2.585549	99
SRR3966130	bowtie2	spades	spades	NODE_10051_length_1819_cov_1.440698	55
SRR3966130	bowtie2	spades	spades	NODE_10198_length_1807_cov_1.721311	68
SRR3966130	bowtie2	spades	spades	NODE_10343_length_1795_cov_2.028302	76
SRR3966130	bowtie2	spades	spades	NODE_10578_length_1776_cov_2.330352	85
SRR3966130	bowtie2	spades	spades	NODE_10583_length_1776_cov_1.824091	69
SRR3966130	bowtie2	spades	spades	NODE_10631_length_1772_cov_1.255828	48
SRR3966130	bowtie2	spades	spades	NODE_10798_length_1759_cov_2.302410	83
SRR3966130	bowtie2	spades	spades	NODE_10823_length_1757_cov_1.905308	61
SRR3966130	bowtie2	spades	spades	NODE_10845_length_1756_cov_1.828606	66
SRR3966130	bowtie2	spades	spades	NODE_10909_length_1751_cov_1.760291	63
SRR3966130	bowtie2	spades	spades	NODE_11211_length_1731_cov_1.474877	53
SRR3966130	bowtie2	spades	spades	NODE_11251_length_1728_cov_2.178023	77
SRR3966130	bowtie2	spades	spades	NODE_11357_length_1721_cov_1.937731	74
SRR3966130	bowtie2	spades	spades	NODE_11863_length_1689_cov_2.648428	97
SRR3966130	bowtie2	spades	spades	NODE_12128_length_1670_cov_1.269255	44
SRR3966130	bowtie2	spades	spades	NODE_12883_length_1622_cov_2.560079	86
SRR3966130	bowtie2	spades	spades	NODE_13010_length_1615_cov_2.431398	75
SRR3966130	bowtie2	spades	spades	NODE_13027_length_1614_cov_2.289769	73
SRR3966130	bowtie2	spades	spades	NODE_13063_length_1612_cov_1.473893	53
SRR3966130	bowtie2	spades	spades	NODE_13269_length_1599_cov_1.948000	69
SRR3966130	bowtie2	spades	spades	NODE_13299_length_1597_cov_3.515354	126
SRR3966130	bowtie2	spades	spades	NODE_13310_length_1597_cov_1.342457	41
SRR3966130	bowtie2	spades	spades	NODE_13684_length_1575_cov_4.085366	132
SRR3966130	bowtie2	spades	spades	NODE_13837_length_1567_cov_6.054496	185
SRR3966130	bowtie2	spades	spades	NODE_13934_length_1561_cov_1.540356	49
SRR3966130	bowtie2	spades	spades	NODE_13943_length_1561_cov_0.834473	25
SRR3966130	bowtie2	spades	spades	NODE_14026_length_1556_cov_1.338367	43
SRR3966130	bowtie2	spades	spades	NODE_14167_length_1548_cov_2.338164	71
SRR3966130	bowtie2	spades	spades	NODE_14185_length_1547_cov_1.674724	52
SRR3966130	bowtie2	spades	spades	NODE_14746_length_1518_cov_1.524313	43
SRR3966130	bowtie2	spades	spades	NODE_14783_length_1516_cov_2.659845	80
SRR3966130	bowtie2	spades	spades	NODE_14959_length_1508_cov_1.704045	53
SRR3966130	bowtie2	spades	spades	NODE_15110_length_1500_cov_1.770878	52
SRR3966130	bowtie2	spades	spades	NODE_15130_length_1499_cov_1.925000	60
SRR3966130	bowtie2	spades	spades	NODE_15492_length_1484_cov_1.555235	50
SRR3966130	bowtie2	spades	spades	NODE_15585_length_1480_cov_1.279508	36
SRR3966130	bowtie2	spades	spades	NODE_15657_length_1476_cov_2.587509	82
SRR3966130	bowtie2	spades	spades	NODE_15763_length_1472_cov_1.463219	45
SRR3966130	bowtie2	spades	spades	NODE_15892_length_1466_cov_1.070227	31
SRR3966130	bowtie2	spades	spades	NODE_16102_length_1458_cov_2.260486	67
SRR3966130	bowtie2	spades	spades	NODE_16402_length_1447_cov_1.255935	37
SRR3966130	bowtie2	spades	spades	NODE_16998_length_1425_cov_1.049774	32
SRR3966130	bowtie2	spades	spades	NODE_17666_length_1399_cov_2.429231	67
SRR3966130	bowtie2	spades	spades	NODE_17920_length_1390_cov_2.322231	66
SRR3966130	bowtie2	spades	spades	NODE_18022_length_1387_cov_1.215062	34
SRR3966130	bowtie2	spades	spades	NODE_18162_length_1382_cov_1.166017	30
SRR3966130	bowtie2	spades	spades	NODE_18205_length_1380_cov_1.780640	50
SRR3966130	bowtie2	spades	spades	NODE_18419_length_1373_cov_1.551805	46
SRR3966130	bowtie2	spades	spades	NODE_18471_length_1371_cov_2.672170	72
SRR3966130	bowtie2	spades	spades	NODE_18822_length_1359_cov_0.983333	27
SRR3966130	bowtie2	spades	spades	NODE_18994_length_1353_cov_1.235247	31
SRR3966130	bowtie2	spades	spades	NODE_19556_length_1334_cov_1.041296	26
SRR3966130	bowtie2	spades	spades	NODE_20025_length_1319_cov_1.751639	45
SRR3966130	bowtie2	spades	spades	NODE_20372_length_1309_cov_2.476860	73
SRR3966130	bowtie2	spades	spades	NODE_20909_length_1293_cov_3.236181	97
SRR3966130	bowtie2	spades	spades	NODE_20957_length_1292_cov_2.223806	58
SRR3966130	bowtie2	spades	spades	NODE_20961_length_1292_cov_1.827326	48
SRR3966130	bowtie2	spades	spades	NODE_21138_length_1287_cov_1.008418	28
SRR3966130	bowtie2	spades	spades	NODE_21276_length_1282_cov_2.131868	53
SRR3966130	bowtie2	spades	spades	NODE_21430_length_1278_cov_1.381679	36
SRR3966130	bowtie2	spades	spades	NODE_22294_length_1255_cov_2.067474	52
SRR3966130	bowtie2	spades	spades	NODE_22607_length_1247_cov_1.334495	35
SRR3966130	bowtie2	spades	spades	NODE_22643_length_1246_cov_1.895379	49
SRR3966130	bowtie2	spades	spades	NODE_22746_length_1243_cov_1.936189	54
SRR3966130	bowtie2	spades	spades	NODE_23403_length_1225_cov_2.217584	55
SRR3966130	bowtie2	spades	spades	NODE_23445_length_1224_cov_2.144889	59
SRR3966130	bowtie2	spades	spades	NODE_23721_length_1218_cov_1.395889	35
SRR3966130	bowtie2	spades	spades	NODE_24617_length_1196_cov_1.555150	38
SRR3966130	bowtie2	spades	spades	NODE_24707_length_1194_cov_2.005479	48
SRR3966130	bowtie2	spades	spades	NODE_25245_length_1182_cov_0.945522	22
SRR3966130	bowtie2	spades	spades	NODE_25454_length_1177_cov_2.931354	66
SRR3966130	bowtie2	spades	spades	NODE_25552_length_1175_cov_1.232342	29
SRR3966130	bowtie2	spades	spades	NODE_25917_length_1167_cov_1.201311	31
SRR3966130	bowtie2	spades	spades	NODE_26425_length_1157_cov_1.382798	35
SRR3966130	bowtie2	spades	spades	NODE_26655_length_1152_cov_1.316239	35
SRR3966130	bowtie2	spades	spades	NODE_26763_length_1150_cov_1.355852	29
SRR3966130	bowtie2	spades	spades	NODE_27221_length_1140_cov_2.325648	49
SRR3966130	bowtie2	spades	spades	NODE_27369_length_1137_cov_2.016378	51
SRR3966130	bowtie2	spades	spades	NODE_28711_length_1111_cov_2.469368	55
