featureid	ERR599164	SRR3963458	SRR3963457	ERR598999	SRR3965758	ERR599124	ERR599004	SRR3968062	ERR599034	ERR599127	ERR599067	ERR599083	SRR3963982	ERR599055	SRR3968061	SRR3962773	ERR599072	SRR3963622	ERR599152	ERR599167	ERR599159	ERR599015	ERR599175	ERR599051	ERR598980	ERR599076	SRR3966130	SRR3960579	ERR599128	ERR598964	ERR599085	ERR599062	SRR3960577	ERR599109	SRR3965873	SRR3963449	SRR3967690	ERR599112	ERR598944	ERR599131	ERR599166	SRR3965874	SRR3968777	ERR599096	ERR598958	SRR3961935	SRR3961906	SRR3963804	SRR3961047	SRR3960575	SRR3965586	ERR599031	ERR599033	ERR599000	ERR599048	ERR598947	SRR3967700	ERR599008	ERR599172	ERR599021	ERR598960	ERR599047	ERR599005	ERR599154	SRR3962680	ERR598971	SRR3967319	ERR599086	ERR599071	ERR598985	SRR3960578	ERR599044	ERR599149	ERR599125	ERR599060	ERR599037	SRR3962293	SRR3965592	ERR599115	ERR599132	ERR599020
Staphylococcus saprophyticus	154.0	0.0	0.0	587.0	0.0	0.0	32.0	0.0	122.0	0.0	0.0	581.0	0.0	253.0	0.0	0.0	1887.0	0.0	26.0	0.0	71.0	41.0	37.0	48.0	60.0	33.0	0.0	0.0	148.0	112.0	105.0	0.0	0.0	0.0	0.0	0.0	52.0	288.0	162.0	0.0	967.0	0.0	0.0	533.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	587.0	87.0	0.0	72.0	0.0	1157.0	0.0	87.0	837.0	509.0	0.0	0.0	0.0	100.0	0.0	241.0	389.0	1422.0	0.0	60.0	0.0	262.0	0.0	0.0	0.0	0.0	433.0	343.0	67.0
Staphylococcus warneri	239.0	0.0	0.0	189.0	0.0	155.0	0.0	0.0	40.0	82.0	69.0	215.0	0.0	0.0	0.0	0.0	352.0	0.0	119.0	0.0	804.0	102.0	0.0	0.0	81.0	80.0	0.0	0.0	0.0	215.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	26097.0	867.0	196.0	764.0	0.0	0.0	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	1017.0	0.0	905.0	0.0	803.0	0.0	170.0	357.0	213.0	0.0	211.0	0.0	248.0	0.0	342.0	429.0	1142.0	0.0	1066.0	198.0	262.0	0.0	0.0	0.0	0.0	412.0	0.0	452.0
Staphylococcus capitis	243.0	0.0	0.0	304.0	0.0	0.0	0.0	0.0	385.0	92.0	7668.0	269.0	0.0	0.0	0.0	62.0	1821.0	0.0	95.0	0.0	242.0	95.0	0.0	0.0	110.0	135.0	0.0	0.0	145.0	253.0	720.0	214.0	30.0	0.0	0.0	0.0	67.0	3845.0	2869.0	220.0	873.0	0.0	0.0	226.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	309.0	462.0	0.0	936.0	0.0	8924.0	1559.0	265.0	1896.0	3062.0	155.0	125.0	0.0	5563.0	0.0	2035.0	2026.0	654.0	0.0	540.0	212.0	2531.0	0.0	726.0	0.0	0.0	366.0	339.0	1449.0
Staphylococcus cohnii	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	238.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	67.0	394.0	192.0	137.0	0.0	0.0	0.0	0.0	0.0	1492.0	135.0	0.0	403.0	0.0	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0	248.0	0.0	250.0	0.0	1499.0	0.0	59.0	397.0	1601.0	0.0	0.0	0.0	75.0	0.0	183.0	596.0	257.0	0.0	124.0	0.0	357.0	0.0	0.0	0.0	0.0	138.0	92.0	0.0
Staphylococcus arlettae	77.0	0.0	0.0	165.0	0.0	0.0	0.0	0.0	81.0	0.0	54.0	132.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	165.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0	356.0	39.0	0.0	575.0	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	66.0	0.0	29.0	0.0	502.0	0.0	52.0	535.0	303.0	0.0	0.0	0.0	177.0	0.0	205.0	393.0	553.0	0.0	30.0	0.0	112.0	0.0	0.0	0.0	0.0	90.0	58.0	69.0
Staphylococcus aureus	524.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2224.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20575.0	0.0	0.0	0.0	554.0	0.0	0.0	0.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1114.0	534.0	0.0	1823.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	410.0	0.0	977.0	0.0	6536.0	0.0	0.0	8380.0	8714.0	0.0	0.0	0.0	417.0	0.0	790.0	740.0	540.0	0.0	3853.0	1051.0	1675.0	0.0	0.0	0.0	0.0	0.0	0.0	771.0
Staphylococcus saccharolyticus	29.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	21.0	0.0	22.0	0.0	29.0	0.0	0.0	0.0	37.0	39.0	0.0	0.0	0.0	16.0	0.0	17.0	0.0	32.0	79.0	1014.0	0.0	0.0	0.0	0.0	0.0	121.0	79.0	7242.0	23.0	36.0	0.0	0.0	38.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	107.0	0.0	152.0	21.0	2119.0	0.0	27.0	355.0	0.0	0.0	21.0	0.0	34.0	62.0	0.0	5190.0	203.0	0.0	33.0	0.0	540.0	0.0	0.0	0.0	0.0	0.0	106.0	0.0
Jeotgalicoccus sp. ATCC 8456	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	472.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	54.0	0.0	21.0	0.0	210.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	56.0	0.0	36.0	57.0	18.0	0.0	14.0	0.0	39.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0
Abyssicoccus albus	19.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	29.0	61.0	0.0	0.0	0.0	0.0	0.0	14.0	178.0	0.0	0.0	45.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	161.0	0.0	40.0	0.0	862.0	0.0	0.0	64.0	67.0	0.0	23.0	0.0	24.0	0.0	0.0	272.0	0.0	0.0	38.0	0.0	190.0	0.0	38.0	0.0	0.0	0.0	27.0	0.0
Jeotgalibacillus malaysiensis	67.0	0.0	0.0	26.0	0.0	0.0	22.0	0.0	17.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	79.0	0.0	22.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1231.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	36.0	0.0	25.0	143.0	0.0	0.0	0.0	0.0	135.0	0.0	33.0	0.0	23.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	167.0	0.0	208.0
Gemella haemolysans	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	64.0	0.0	74.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gemella morbillorum	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brochothrix thermosphacta	20.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus sanguinis	141.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	397.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0	348.0	224.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	1297.0	0.0	524.0	0.0	109.0	145.0	105.0	0.0	0.0	0.0	163.0	312.0	164.0	284.0	0.0	0.0	346.0	74.0	142.0	0.0	65.0	0.0	0.0	117.0	62.0	110.0
Streptococcus mitis	461.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	210.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	0.0	892.0	0.0	645.0	0.0	264.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	170.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus gordonii	113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	510.0	0.0	616.0	0.0	65.0	59.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	46.0	215.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0
Streptococcus cristatus	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus oralis	204.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	145.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1003.0	0.0	676.0	0.0	118.0	233.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	401.0	77.0	217.0	0.0	0.0	0.0	0.0	216.0	0.0	0.0
Lactobacillus crispatus	49.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	0.0	0.0	466.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	47.0	125.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	252.0	0.0	229.0	0.0	223.0	0.0	0.0	237.0	58.0	0.0	40.0	0.0	0.0	0.0	31.0	0.0	382.0	0.0	186.0	33.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Leuconostoc carnosum	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	81.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
Latilactobacillus sakei	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	73.0	0.0	24.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
