featureid	ERR599164	SRR3963458	SRR3963457	ERR598999	SRR3965758	ERR599124	ERR599004	SRR3968062	ERR599034	ERR599127	ERR599067	ERR599083	SRR3963982	ERR599055	SRR3968061	SRR3962773	ERR599072	SRR3963622	ERR599152	ERR599167	ERR599159	ERR599015	ERR599175	ERR599051	ERR598980	ERR599076	SRR3966130	SRR3960579	ERR599128	ERR598964	ERR599085	ERR599062	SRR3960577	ERR599109	SRR3965873	SRR3963449	SRR3967690	ERR599112	ERR598944	ERR599131	ERR599166	SRR3965874	SRR3968777	ERR599096	ERR598958	SRR3961935	SRR3961906	SRR3963804	SRR3961047	SRR3960575	SRR3965586	ERR599031	ERR599033	ERR599000	ERR599048	ERR598947	SRR3967700	ERR599008	ERR599172	ERR599021	ERR598960	ERR599047	ERR599005	ERR599154	SRR3962680	ERR598971	SRR3967319	ERR599086	ERR599071	ERR598985	SRR3960578	ERR599044	ERR599149	ERR599125	ERR599060	ERR599037	SRR3962293	SRR3965592	ERR599115	ERR599132	ERR599020
Sphingopyxis lindanitolerans	762.0	0.0	0.0	0.0	1348.0	0.0	0.0	476.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	601.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0	1014.0	0.0	1015.0	0.0	0.0	567.0	0.0	0.0	0.0	0.0	1130.0	0.0	1283.0	6644.0	399.0	0.0	944.0	1114.0	0.0	0.0	0.0	0.0	0.0	0.0	379.0	0.0	359.0	0.0	0.0	3286.0	0.0	0.0	0.0	0.0	0.0	0.0	1261.0	561.0	0.0	545.0	0.0	151.0	809.0	0.0	0.0	1034.0	0.0	661.0	0.0	0.0	0.0	0.0	0.0	635.0	0.0	0.0	220.0
Sphingobium sp. Cam5-1	569.0	0.0	0.0	61.0	0.0	25.0	0.0	0.0	356.0	0.0	0.0	79.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	219.0	0.0	0.0	0.0	0.0	149.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	11603.0	52.0	0.0	250.0	0.0	0.0	52.0	136.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	66.0	161.0	0.0	0.0	0.0	36.0	0.0	412.0	2071.0	152.0	0.0	37.0	0.0	37.0	0.0	69.0	0.0	610.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	169.0	0.0	66.0
Sphingobium sp. CAP-1	725.0	0.0	0.0	116.0	84.0	40.0	241.0	0.0	434.0	878.0	0.0	104.0	0.0	0.0	0.0	0.0	267.0	0.0	916.0	131.0	232.0	706.0	143.0	178.0	538.0	774.0	0.0	0.0	0.0	410.0	0.0	279.0	131.0	0.0	0.0	0.0	76.0	14904.0	267.0	0.0	355.0	0.0	0.0	82.0	248.0	0.0	0.0	0.0	131.0	295.0	89.0	0.0	100.0	588.0	0.0	0.0	0.0	360.0	0.0	528.0	2291.0	246.0	0.0	129.0	0.0	0.0	0.0	184.0	0.0	1305.0	107.0	237.0	0.0	89.0	232.0	0.0	0.0	0.0	14616.0	0.0	133.0
Sphingobium sp. RAC03	46.0	0.0	0.0	82.0	0.0	0.0	33.0	0.0	0.0	156.0	0.0	59.0	0.0	0.0	0.0	37.0	22.0	0.0	163.0	0.0	76.0	159.0	45.0	34.0	92.0	152.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	940.0	48.0	0.0	0.0	0.0	0.0	72.0	16.0	0.0	0.0	0.0	17.0	0.0	17.0	0.0	66.0	343.0	0.0	0.0	0.0	44.0	0.0	20.0	68.0	0.0	26.0	45.0	0.0	23.0	0.0	18.0	0.0	121.0	18.0	29.0	0.0	0.0	26.0	0.0	27.0	0.0	831.0	21.0	16.0
Sphingobium sp. TKS	170.0	99.0	0.0	2265.0	197.0	2955.0	176.0	0.0	0.0	357.0	2341.0	2361.0	194.0	539.0	0.0	0.0	3932.0	165.0	358.0	0.0	18551.0	352.0	150.0	121.0	1728.0	387.0	309.0	0.0	1020.0	4478.0	331.0	0.0	0.0	0.0	125.0	134.0	66.0	3188.0	2607.0	0.0	5924.0	156.0	0.0	2360.0	2058.0	0.0	0.0	0.0	93.0	114.0	79.0	0.0	2345.0	10589.0	139.0	0.0	0.0	1343.0	0.0	128.0	254.0	4046.0	232.0	1727.0	0.0	12064.0	99.0	2466.0	1422.0	5837.0	0.0	177.0	0.0	335.0	147.0	0.0	0.0	156.0	1631.0	3104.0	2554.0
Sphingobium sp. EP60837	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	46.0	0.0	0.0	167.0	46.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1706.0	115.0	0.0	116.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	0.0	0.0	36.0	0.0	61.0	145.0	80.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	73.0	0.0	0.0	0.0	0.0	0.0	0.0	254.0	0.0	0.0
Sphingobium baderi	1304.0	0.0	0.0	1894.0	574.0	1669.0	112.0	0.0	190.0	196.0	1306.0	1887.0	160.0	382.0	0.0	96.0	2111.0	124.0	217.0	0.0	10699.0	251.0	143.0	133.0	1052.0	250.0	727.0	0.0	730.0	2481.0	134.0	0.0	0.0	0.0	669.0	229.0	262.0	13820.0	1490.0	0.0	2815.0	403.0	0.0	1895.0	1228.0	0.0	0.0	0.0	181.0	304.0	104.0	0.0	1810.0	5920.0	86.0	0.0	177.0	794.0	0.0	758.0	1558.0	1964.0	111.0	951.0	188.0	6264.0	122.0	1160.0	693.0	3595.0	240.0	380.0	123.0	173.0	108.0	0.0	192.0	362.0	1504.0	1896.0	1630.0
Sphingobium cloacae	2020.0	0.0	0.0	763.0	940.0	104.0	187.0	224.0	855.0	887.0	54.0	744.0	110.0	0.0	177.0	110.0	717.0	0.0	938.0	225.0	550.0	926.0	203.0	176.0	1361.0	913.0	1007.0	229.0	54.0	3703.0	0.0	672.0	0.0	0.0	1049.0	0.0	400.0	24168.0	1416.0	0.0	1215.0	588.0	0.0	799.0	1305.0	247.0	377.0	0.0	511.0	424.0	186.0	124.0	756.0	4447.0	276.0	213.0	183.0	642.0	90.0	1144.0	4633.0	1179.0	465.0	659.0	0.0	262.0	157.0	226.0	68.0	3934.0	321.0	775.0	154.0	160.0	219.0	122.0	174.0	497.0	16724.0	160.0	415.0
Sphingobium herbicidovorans	232.0	0.0	0.0	80.0	0.0	0.0	29.0	0.0	112.0	62.0	0.0	69.0	0.0	0.0	0.0	0.0	84.0	0.0	89.0	0.0	64.0	86.0	0.0	0.0	100.0	54.0	0.0	0.0	0.0	329.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2275.0	162.0	0.0	228.0	0.0	0.0	62.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	487.0	0.0	0.0	0.0	0.0	0.0	107.0	551.0	209.0	36.0	94.0	0.0	97.0	0.0	35.0	32.0	645.0	0.0	252.0	42.0	0.0	0.0	0.0	0.0	0.0	661.0	18.0	122.0
Sphingobium amiense	693.0	0.0	0.0	144.0	0.0	38.0	0.0	0.0	383.0	332.0	0.0	196.0	0.0	0.0	0.0	0.0	517.0	0.0	470.0	0.0	261.0	451.0	0.0	0.0	212.0	266.0	0.0	0.0	0.0	1097.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21914.0	689.0	0.0	1058.0	0.0	0.0	118.0	1155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.0	3393.0	0.0	0.0	0.0	176.0	0.0	432.0	2444.0	904.0	292.0	395.0	0.0	90.0	0.0	186.0	41.0	2269.0	0.0	618.0	164.0	0.0	130.0	0.0	0.0	0.0	1661.0	47.0	186.0
